N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
147,HDC현대산업개발,"31,200",300,+0.97%,"5,000","20,563","65,907",11.52,"153,151",9.94,8.85,
148,한전기술,"53,600","1,500",-2.72%,200,"20,486","38,220",2.16,"299,881",122.37,N/A,
149,진원생명과학,"44,300","2,050",-4.42%,"1,000","20,029","45,212",13.96,"2,397,664",-101.37,-30.43,
150,농심,"328,500","6,000",+1.86%,"5,000","19,981","6,083",13.64,"62,275",15.52,7.50,
151,오뚜기,"538,000","10,000",+1.89%,"5,000","19,755","3,672",12.79,"4,169",20.40,7.93,
152,동국제강,"20,700",550,-2.59%,"5,000","19,755","95,433",22.36,"529,969",9.38,3.35,
153,금호타이어,"6,780",10,+0.15%,"5,000","19,476","287,260",4.27,"148,205",-127.92,-6.74,
154,LS ELECTRIC,"64,900","1,100",+1.72%,"5,000","19,470","30,000",14.67,"217,495",24.74,6.15,
155,대웅제약,"168,000","4,000",+2.44%,"2,500","19,465","11,587",4.96,"90,988",-176.47,2.38,
156,한전KPS,"43,000",50,-0.12%,200,"19,350","45,000",8.60,"82,997",17.93,8.23,
157,현대백화점,"81,100",100,+0.12%,"5,000","18,979","23,402",18.86,"26,819",19.47,1.65,
158,롯데정밀화학,"72,300",300,-0.41%,"5,000","18,653","25,800",19.92,"92,197",9.51,12.65,
159,한미반도체,"37,100","1,150",-3.01%,200,"18,350","49,460",9.26,"601,305",30.31,21.03,
160,KODEX 삼성그룹,"10,630",60,+0.57%,0,"18,273","171,900",0.02,"204,097",N/A,N/A,
161,솔루스첨단소재,"58,800","1,200",+2.08%,100,"17,987","30,590",8.05,"208,101",-162.43,-5.10,
162,영원무역,"39,400",300,-0.76%,500,"17,459","44,311",27.35,"38,854",11.30,8.03,
163,명신산업,"33,250","2,550",+8.31%,500,"17,446","52,470",1.29,"5,388,179",-14.42,-67.39,
164,프레스티지바이오파마,"28,650",350,+1.24%,0,"17,218","60,096",63.77,"75,403",-85.27,N/A,
165,한국앤컴퍼니,"18,100",0,0.00%,500,"17,183","94,935",9.83,"83,591",8.34,5.08,
166,대한유화,"261,000","6,000",-2.25%,"5,000","16,965","6,500",14.82,"108,075",7.44,6.93,
167,아이에스동서,"54,900",600,+1.10%,500,"16,960","30,893",4.49,"15,322",13.27,10.92,
168,DL,"77,900",600,+0.78%,"5,000","16,325","20,956",15.73,"28,922",4.18,11.84,
169,두산,"98,500",800,-0.81%,"5,000","16,276","16,524",11.02,"27,343",-11.85,-34.34,
170,KG동부제철,"16,200",250,-1.52%,"5,000","16,201","100,009",1.17,"135,921",17.96,7.18,
171,지누스,"100,500","1,000",+1.01%,500,"15,879","15,800",22.94,"11,216",33.17,11.61,
172,에스엘,"32,650",550,+1.71%,500,"15,738","48,203",16.91,"47,711",14.26,4.74,
173,DGB금융지주,"9,290",190,+2.09%,"5,000","15,714","169,146",48.48,"714,447",4.28,6.93,
174,솔루엠,"31,050",550,+1.80%,500,"15,465","49,806",8.34,"386,773",30.38,43.26,
175,SK네트웍스,"6,180",40,-0.64%,"2,500","15,338","248,188",13.74,"556,468",14.82,1.63,
176,NHN,"78,000",300,-0.38%,500,"15,261","19,565",12.98,"31,089",56.93,1.35,
177,JB금융지주,"7,690",10,-0.13%,"5,000","15,148","196,983",40.93,"406,001",3.79,10.06,
178,종근당,"131,500","1,500",+1.15%,"2,500","15,025","11,426",7.59,"38,190",16.92,17.88,
179,녹십자홀딩스,"31,750",150,+0.47%,500,"14,931","47,028",4.67,"58,098",8.43,19.74,
180,부광약품,"21,000",550,+2.69%,500,"14,923","71,063",3.71,"1,457,142",-157.89,-2.46,
181,KODEX 레버리지,"28,085",95,+0.34%,0,"14,717","52,400",4.22,"9,441,201",N/A,N/A,
182,코스맥스,"127,000",500,+0.40%,500,"14,414","11,350",24.04,"21,754",39.95,6.23,
183,롯데리츠,"5,920",0,0.00%,500,"14,384","242,969",10.22,"169,328",34.42,1.83,
184,LG생활건강우,"685,000","2,000",-0.29%,"5,000","14,383","2,100",85.44,"4,363",14.77,N/A,
185,KODEX 단기채권PLUS,"103,150",0,0.00%,0,"14,314","13,877",0.00,"826,886",N/A,N/A,
186,신세계인터내셔날,"197,500","1,500",+0.77%,"5,000","14,102","7,140",5.37,"9,257",20.24,8.24,
187,KODEX 종합채권(AA-이상)액티브,"109,660",185,-0.17%,0,"13,890","12,666",0.00,"3,182",N/A,N/A,
188,롯데관광개발,"19,750",100,+0.51%,500,"13,682","69,276",6.51,"205,302",-11.05,-30.43,
189,아시아나항공,"18,100",200,+1.12%,"5,000","13,469","74,412",19.73,"355,174",-20.07,-43.83,
190,롯데칠성,"143,500","7,500",+5.51%,500,"13,315","9,279",8.51,"111,573",193.40,-1.00,
191,LG전자우,"77,300",400,+0.52%,"5,000","13,285","17,186",41.14,"36,077",7.20,N/A,
192,효성화학,"407,000","7,500",+1.88%,"5,000","12,984","3,190",10.04,"30,148",44.44,-2.71,
193,티와이홀딩스,"32,300",250,-0.77%,500,"12,975","40,172",6.05,"60,169",1.22,N/A,
194,영풍,"696,000","5,000",+0.72%,"5,000","12,821","1,842",4.41,583,9.37,4.03,
195,한국콜마,"56,000",600,+1.08%,500,"12,813","22,881",26.44,"59,107",8.00,29.27,
196,KODEX 200TR,"14,085",20,+0.14%,0,"12,761","90,600",0.02,"31,475",N/A,N/A,
197,두산인프라코어,"16,250",100,-0.61%,"5,000","12,725","78,309",8.91,"610,039",15.46,6.47,
198,TIGER TOP10,"14,770",20,+0.14%,0,"12,710","86,050",0.19,"74,966",N/A,N/A,
199,세방전지,"90,000",100,-0.11%,500,"12,600","14,000",25.38,"30,863",16.33,6.14,
200,코스모신소재,"42,100",850,+2.06%,"1,000","12,561","29,835",8.62,"833,227",75.99,7.16,
